Vic_date,Agre_date,dateStore
2019-02-19 17:56:19.481518,2019-02-19 17:56:19.247294,2019-02-19 17:56:20.275770
2019-02-19 17:56:19.500349,2019-02-19 17:56:19.266130,2019-02-19 17:56:20.276275
2019-02-19 17:56:19.496665,2019-02-19 17:56:19.266947,2019-02-19 17:56:20.386563
2019-02-19 17:56:19.498545,2019-02-19 17:56:19.268909,2019-02-19 17:56:20.387397
2019-02-19 17:56:19.499477,2019-02-19 17:56:19.265677,2019-02-19 17:56:20.500384
2019-02-19 17:56:19.492927,2019-02-19 17:56:19.264275,2019-02-19 17:56:20.501224
2019-02-19 17:56:19.488446,2019-02-19 17:56:19.254720,2019-02-19 17:56:20.501710
2019-02-19 17:56:19.491612,2019-02-19 17:56:19.263198,2019-02-19 17:56:20.502193
2019-02-19 17:56:19.497705,2019-02-19 17:56:19.268083,2019-02-19 17:56:20.502682
2019-02-19 17:56:19.498108,2019-02-19 17:56:19.262786,2019-02-19 17:56:20.503161
2019-02-19 17:56:19.501494,2019-02-19 17:56:19.267355,2019-02-19 17:56:20.503648
2019-02-19 17:56:19.493471,2019-02-19 17:56:19.261975,2019-02-19 17:56:20.614014
2019-02-19 17:56:19.498974,2019-02-19 17:56:19.267654,2019-02-19 17:56:20.614856
2019-02-19 17:57:19.482877,2019-02-19 17:57:19.253358,2019-02-19 17:57:19.935703
2019-02-19 17:57:19.475843,2019-02-19 17:57:19.247339,2019-02-19 17:57:20.011429
2019-02-19 17:57:19.481209,2019-02-19 17:57:19.252658,2019-02-19 17:57:20.012222
2019-02-19 17:57:19.475283,2019-02-19 17:57:19.246788,2019-02-19 17:57:20.012713
2019-02-19 17:57:19.488470,2019-02-19 17:57:19.259956,2019-02-19 17:57:20.013224
2019-02-19 17:57:19.490370,2019-02-19 17:57:19.260876,2019-02-19 17:57:20.013706
2019-02-19 17:57:19.489539,2019-02-19 17:57:19.259463,2019-02-19 17:57:20.014196
2019-02-19 17:57:19.478060,2019-02-19 17:57:19.249282,2019-02-19 17:57:20.014675
2019-02-19 17:57:19.487091,2019-02-19 17:57:19.255157,2019-02-19 17:57:20.046827
2019-02-19 17:57:19.481844,2019-02-19 17:57:19.249827,2019-02-19 17:57:20.047661
2019-02-19 17:57:19.482345,2019-02-19 17:57:19.250307,2019-02-19 17:57:20.048147
2019-02-19 17:57:19.486651,2019-02-19 17:57:19.253814,2019-02-19 17:57:20.048627
2019-02-19 17:57:19.478483,2019-02-19 17:57:19.247770,2019-02-19 17:57:20.049136
2019-02-19 17:57:19.476994,2019-02-19 17:57:19.248680,2019-02-19 17:57:20.049616
2019-02-19 17:57:19.476402,2019-02-19 17:57:19.248228,2019-02-19 17:57:20.050096
2019-02-19 17:57:19.485302,2019-02-19 17:57:19.256352,2019-02-19 17:57:20.050587
2019-02-19 17:57:19.489959,2019-02-19 17:57:19.258056,2019-02-19 17:57:20.111442
2019-02-19 17:57:19.497673,2019-02-19 17:57:19.265908,2019-02-19 17:57:20.112265
2019-02-19 17:57:19.488009,2019-02-19 17:57:19.254261,2019-02-19 17:57:20.112759
2019-02-19 17:57:19.495710,2019-02-19 17:57:19.264039,2019-02-19 17:57:20.113265
2019-02-19 17:57:19.483332,2019-02-19 17:57:19.250772,2019-02-19 17:57:20.113763
2019-02-19 17:57:19.501718,2019-02-19 17:57:19.256019,2019-02-19 17:57:20.114256
2019-02-19 17:57:19.483826,2019-02-19 17:57:19.252181,2019-02-19 17:57:20.114761
2019-02-19 17:57:19.502570,2019-02-19 17:57:19.268472,2019-02-19 17:57:20.160566
2019-02-19 17:57:19.496177,2019-02-19 17:57:19.263626,2019-02-19 17:57:20.161449
2019-02-19 17:57:19.490781,2019-02-19 17:57:19.259007,2019-02-19 17:57:20.161950
2019-02-19 17:57:19.496627,2019-02-19 17:57:19.268049,2019-02-19 17:57:20.162464
2019-02-19 17:57:19.493335,2019-02-19 17:57:19.263207,2019-02-19 17:57:20.162964
2019-02-19 17:57:19.488957,2019-02-19 17:57:19.258568,2019-02-19 17:57:20.163566
2019-02-19 17:57:19.491187,2019-02-19 17:57:19.256837,2019-02-19 17:57:20.164066
2019-02-19 17:57:19.498094,2019-02-19 17:57:19.267622,2019-02-19 17:57:20.164576
2019-02-19 17:57:19.492802,2019-02-19 17:57:19.262784,2019-02-19 17:57:20.257988
2019-02-19 17:57:19.486247,2019-02-19 17:57:19.255617,2019-02-19 17:57:20.258817
2019-02-19 17:57:19.485820,2019-02-19 17:57:19.257587,2019-02-19 17:57:20.259313
2019-02-19 17:57:19.479073,2019-02-19 17:57:19.245640,2019-02-19 17:57:20.259816
2019-02-19 17:57:19.484326,2019-02-19 17:57:19.254701,2019-02-19 17:57:20.260296
2019-02-19 17:57:19.484762,2019-02-19 17:57:19.251684,2019-02-19 17:57:20.260782
2019-02-19 17:57:19.477616,2019-02-19 17:57:19.246310,2019-02-19 17:57:20.261281
2019-02-19 17:57:19.495257,2019-02-19 17:57:19.261516,2019-02-19 17:57:20.273927
2019-02-19 17:57:19.494320,2019-02-19 17:57:19.261953,2019-02-19 17:57:20.356129
2019-02-19 17:57:19.497188,2019-02-19 17:57:19.262369,2019-02-19 17:57:20.356963
2019-02-19 17:57:19.499019,2019-02-19 17:57:19.266757,2019-02-19 17:57:20.357490
2019-02-19 17:57:19.494814,2019-02-19 17:57:19.266324,2019-02-19 17:57:20.357975
2019-02-19 17:57:19.499431,2019-02-19 17:57:19.267190,2019-02-19 17:57:20.358465
2019-02-19 17:57:19.503942,2019-02-19 17:57:19.271604,2019-02-19 17:57:20.358967
2019-02-19 17:57:19.491939,2019-02-19 17:57:19.260438,2019-02-19 17:57:20.359456
2019-02-19 17:57:19.500254,2019-02-19 17:57:19.271168,2019-02-19 17:57:20.387581
2019-02-19 17:57:19.498504,2019-02-19 17:57:19.265486,2019-02-19 17:57:20.388398
2019-02-19 17:57:19.493828,2019-02-19 17:57:19.264467,2019-02-19 17:57:20.501172
2019-02-19 17:57:19.503500,2019-02-19 17:57:19.269452,2019-02-19 17:57:20.502003
2019-02-19 17:57:19.505275,2019-02-19 17:57:19.272869,2019-02-19 17:57:20.502498
2019-02-19 17:57:19.500681,2019-02-19 17:57:19.268911,2019-02-19 17:57:20.614954
2019-02-19 17:57:19.501250,2019-02-19 17:57:19.272443,2019-02-19 17:57:20.615798
2019-02-19 17:57:19.502157,2019-02-19 17:57:19.269884,2019-02-19 17:57:20.616299
2019-02-19 17:57:19.504829,2019-02-19 17:57:19.273501,2019-02-19 17:57:20.616789
2019-02-19 17:57:19.499845,2019-02-19 17:57:19.264899,2019-02-19 17:57:20.617301
2019-02-19 17:57:19.504379,2019-02-19 17:57:19.270741,2019-02-19 17:57:20.617784
2019-02-19 17:57:19.487546,2019-02-19 17:57:19.251215,2019-02-19 17:57:20.618270
2019-02-19 17:57:19.506529,2019-02-19 17:57:19.272031,2019-02-19 17:57:20.728533
2019-02-19 17:57:19.502987,2019-02-19 17:57:19.270301,2019-02-19 17:57:20.729378
2019-02-19 17:58:19.501628,2019-02-19 17:58:19.269541,2019-02-19 17:58:19.999054
2019-02-19 17:58:19.519112,2019-02-19 17:58:19.288696,2019-02-19 17:58:19.999754
2019-02-19 17:58:19.510078,2019-02-19 17:58:19.276184,2019-02-19 17:58:20.001197
2019-02-19 17:58:19.503041,2019-02-19 17:58:19.274190,2019-02-19 17:58:20.001684
2019-02-19 17:58:19.511867,2019-02-19 17:58:19.277309,2019-02-19 17:58:20.002163
2019-02-19 17:58:19.515521,2019-02-19 17:58:19.286589,2019-02-19 17:58:20.002634
2019-02-19 17:58:19.507503,2019-02-19 17:58:19.278825,2019-02-19 17:58:20.003128
2019-02-19 17:58:19.516789,2019-02-19 17:58:19.288285,2019-02-19 17:58:20.003625
2019-02-19 17:58:19.516261,2019-02-19 17:58:19.287866,2019-02-19 17:58:20.004092
2019-02-19 17:58:19.503551,2019-02-19 17:58:19.270706,2019-02-19 17:58:20.004559
2019-02-19 17:58:19.513322,2019-02-19 17:58:19.284404,2019-02-19 17:58:20.005064
2019-02-19 17:58:19.518234,2019-02-19 17:58:19.285740,2019-02-19 17:58:20.005535
2019-02-19 17:58:19.514190,2019-02-19 17:58:19.283514,2019-02-19 17:58:20.006004
2019-02-19 17:58:19.506683,2019-02-19 17:58:19.277801,2019-02-19 17:58:20.006479
2019-02-19 17:58:19.505357,2019-02-19 17:58:19.272674,2019-02-19 17:58:20.006947
2019-02-19 17:58:19.501155,2019-02-19 17:58:19.271191,2019-02-19 17:58:20.007426
2019-02-19 17:58:19.502084,2019-02-19 17:58:19.273253,2019-02-19 17:58:20.007900
2019-02-19 17:58:19.500193,2019-02-19 17:58:19.271686,2019-02-19 17:58:20.008388
2019-02-19 17:58:19.504870,2019-02-19 17:58:19.270220,2019-02-19 17:58:20.008860
2019-02-19 17:58:19.515107,2019-02-19 17:58:19.283055,2019-02-19 17:58:20.009391
2019-02-19 17:58:19.504444,2019-02-19 17:58:19.273716,2019-02-19 17:58:20.009865
